Route,Distance (km),Max Hazard,Category,Path
1,5.9,1,best,"Novo Pinagbuhatan -> Kenneth Talipapa -> Pinagbuhatan Ferry station -> 2 Centennial Street, Pinagbuhatan -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision"
2,6.4,1,available,Novo Pinagbuhatan -> Kenneth Talipapa -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision
3,6.6,1,available,"Novo Pinagbuhatan -> Kenneth Talipapa -> Pinagbuhatan Barangay Hall -> Pinagbuhatan High School -> Pinagbuhatan Ferry station -> 2 Centennial Street, Pinagbuhatan -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision"
4,6.9,1,available,Novo Pinagbuhatan -> Kenneth Talipapa -> Pinagbuhatan Barangay Hall -> Pinagbuhatan High School -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision
5,6.9,1,available,"Novo Pinagbuhatan -> Pinagbuhatan High School -> Pinagbuhatan Ferry station -> 2 Centennial Street, Pinagbuhatan -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision"
6,8.0,1,available,"Novo Pinagbuhatan -> Pinagbuhatan High School -> Pinagbuhatan Barangay Hall -> Kenneth Talipapa -> Pinagbuhatan Ferry station -> 2 Centennial Street, Pinagbuhatan -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision"
7,9.0,1,available,"Novo Pinagbuhatan -> Kenneth Talipapa -> Pinagbuhatan Ferry station -> Pinagbuhatan High School -> Pinagbuhatan Barangay Hall -> 2 Centennial Street, Pinagbuhatan -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision"
8,10.1,1,available,"Novo Pinagbuhatan -> Pinagbuhatan High School -> Pinagbuhatan Ferry station -> Kenneth Talipapa -> Pinagbuhatan Barangay Hall -> 2 Centennial Street, Pinagbuhatan -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision"
9,10.2,1,available,"Novo Pinagbuhatan -> Kenneth Talipapa -> Pinagbuhatan Barangay Hall -> 2 Centennial Street, Pinagbuhatan -> Pinagbuhatan Ferry station -> Pinagbuhatan High School -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision"
10,10.5,1,available,"Novo Pinagbuhatan -> Kenneth Talipapa -> Pinagbuhatan Ferry station -> 2 Centennial Street, Pinagbuhatan -> Pinagbuhatan Barangay Hall -> Pinagbuhatan High School -> Sta. Lucia Barangay Hall -> Barangay Sta. Lucia Health Center -> St Jude Thaddeus Sta. Lucia -> Sta. Lucia High School -> De Castro Elementary School -> Mabuhay Subdivision"
